Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
GEN,BEZ,Coronavirus Fälle bis 19.03 00:00,Change,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,
Ahrweiler,Landkreis,18,6%,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9069,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9072,18/03/2020 20:00,24,0,121,0,0,,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Aichach-Friedberg,Landkreis,16,33%,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,18/03/2020 16:30,24,0,200,0,,3/19/2020 13:16,https://docs.google.com/spreadsheets/d/1wg-s4_Lz2Stil6spQEYFdZaBEp8nWW26gVyfHqvcl8s/htmlview?usp=sharing,@LunaticMax,1,,,,,,,,,9
Alb-Donau-Kreis,Landkreis,35,35%,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,18/03/2020 16:50,35,0,,0,0,,,,0,,,,,,,,,8
Altenburger Land,Landkreis,5,25%,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,19/03/2020 00:00,5,0,,0,0,,,,0,,,,,,,,,16
Altenkirchen (Westerwald),Landkreis,13,63%,"https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12","https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12",19/03/2020 00:00,13,0,,0,0,,,,0,,,,,,,,,7
Altmarkkreis Salzwedel,Landkreis,3,0%,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,18/03/2020 16:30,3,0,,0,0,,,,0,,,,,,,,,15
Altötting,Landkreis,7,40%,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,18.03.2020 14:00,12,,,,,3/19/2020 13:17,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,@LunaticMax,1,15,3/19/2020 15:44:43,https://www.pnp.de/lokales/landkreis-altoetting/altoetting/Corona-Virus-Aktuell-15-Faelle-im-Landkreis-3640607.html,@Seitl Daniel,,,,,9
Alzey-Worms,Landkreis,24,4%,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/corona-virus.php,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,19/03/2020 00:30,11,,,,,3/19/2020 12:20,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Amberg,Kreisfreie Stadt,2,0%,https://www.amberg.de/corona,https://www.amberg.de/news/newsdetail/zwei-bestaetigte-corona-faelle-im-stadtgebiet,19/03/2020 00:00,2,,,,,3/19/2020 13:17,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
