Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,"1. Stadt, Landkreis getrennt","1. Stadt, Landkreis getrennt",,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,,,,,,,,,,,,2. Datum prüfen,2. Datum prüfen,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Dithmarschen,Kreis,1051,11,10%,11,https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,19/03/2020 23:42:00,11,0,11,0,0,20/03/2020 08:29:00,https://www.dithmarschen.de/PDF/2020_03_19_Corona_Dithmarschen_11_best%C3%A4tigte_F%C3%A4lle.PDF?ObjSvrID=2046&ObjID=3015&ObjLa=1&Ext=PDF&WTR=1&_ts=1584633940,@JamesEDaniell,0,@XMan14155,@Stuqa,1,0,,,,,,,,,1,1
Flensburg,Kreisfreie Stadt,1001,10,25%,10,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",19/03/2020 16:40:00,10,,,,,,,,0,,@Mannix,0,0,,,,,,,,,1,1
Herzogtum Lauenburg,Kreis,1053,21,11%,21,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,19/03/2020 23:59:00,21,,,,,,,,0,,etc.,0,0,,,,,,,,,1,1
Kiel,Kreisfreie Stadt,1002,34,36%,34,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,19/03/2020 23:59:00,34,,,,,,,,0,,,0,0,,,,,,,,,1,1
Lübeck,Kreisfreie Stadt,1003,19,6%,19,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,19/03/2020 23:59:00,19,,,,,,,,0,,,0,0,,,,,,,,,1,1
Neumünster,Kreisfreie Stadt,1004,3,0%,3,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,19/03/2020 23:59:00,3,,,,,,,,0,,,0,0,,,,,,,,,1,1
Nordfriesland,Kreis,1054,10,0%,10,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,19/03/2020 23:59:00,10,,,,,,,,0,,,0,0,,,,,,,,,1,1
Ostholstein,Kreis,1055,7,75%,7,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255","https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",19/03/2020 23:59:00,7,,,,,,,,0,,,0,0,,,,,,,,,1,1
Pinneberg,Kreis,1056,60,11%,60,https://www.kreis-pinneberg.de/Coronavirus.html,https://www.kreis-pinneberg.de/Coronavirus.html,19/03/2020 23:59:00,60,,,,,,,,0,,,0,0,,,,,,,,,1,1
