Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,"1. Stadt, Landkreis getrennt","1. Stadt, Landkreis getrennt",,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,,,,,,,,,,,,,2. Datum prüfen,2. Datum prüfen,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Dithmarschen,Kreis,1051,11,0%,11,,https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,20/03/2020 23:10:00,12,0,11,,,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,1,@RR_ralfr,,0,0,11,,,,,,,,,,,1,1.090909091
Flensburg,Kreisfreie Stadt,1001,13,30%,13,,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",20/03/2020 16:03:00,15,,,,,21/03/2020 13:43:00,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",@RR_ralfr,2,,,0,0,13,,,,,,,,,,,1,1.153846154
Herzogtum Lauenburg,Kreis,1053,24,14%,24,,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,20/03/2020 23:47:52,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,1,1
Kiel,Kreisfreie Stadt,1002,36,6%,36,,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,20/03/2020 17:00:00,37,,,,,,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,@JamesEDaniell,1,@RR_ralfr,,0,0,36,,,,,,,,,,,1,1.027777778
Lübeck,Kreisfreie Stadt,1003,43,126%,53,,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,20/03/2020 22:04:48,53,,,,,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,10,@RR_ralfr,@Stuqa,1,0,43,,,,,,,,,,,1,1.23255814
Neumünster,Kreisfreie Stadt,1004,7,133%,7,,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,19/03/2020 12:00:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,1,1
Nordfriesland,Kreis,1054,16,60%,16,,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,20/03/2020 21:17:00,16,,191,,,,,,0,,,0,0,16,,,,,,,,,,,1,1
Ostholstein,Kreis,1055,11,57%,11,,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255","https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",20/03/2020 21:17:00,12,,,,,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,1,@RR_ralfr,,0,0,11,,,,,,,,,,,1,1.090909091
Pinneberg,Kreis,1056,76,27%,76,,https://www.kreis-pinneberg.de/Coronavirus.html,https://www.kreis-pinneberg.de/Coronavirus.html,20/03/2020 11:00:00,76,,,,,,,,0,,,0,0,76,,,,,,,,,,,1,1
